PMID	lable
16879929	2a
21708860	1a
28120338	3b
27022113	1b
20872024	3a
18413638	1a
14746858	1b
29505525	3a
14972475	3a
3375961	3b
25834993	3a
16225601	4
22017492	2b
23150188	1b
18758217	2b
15036669	1a
17917823	3a
19303197	3a
20816546	1a
25811312	1a
22575589	1b
14718327	1b
31115192	1b
22012027	2a
16046649	2b
19998333	2b
6704898	3b
11078491	2b
18309485	4
28159465	2a
24834119	1b
20735322	4
25354495	1a
28231440	1a
24760709	3a
21658990	4
21347785	2b
10440757	2b
20485150	2b
25794603	1b
22980492	2a
17066229	4
20030641	2b
25169910	2b
19307501	1a
22547108	2b
25239083	4
28965095	3a
27424789	2a
23918953	2b
30008031	3a
18501455	1a
12121017	3b
19177136	2b
22983450	1a
3382281	3b
21382958	2b
20066716	2b
21090563	1b
15305158	2b
10726235	1b
28159465	2a
2617709	1b
7960981	4
20237029	2b
28470117	2b
7474243	1b
15690650	2b
18182665	1a
31197826	4
16402089	2a
12614955	2b
21803755	1b
22450736	2a
10954659	4
27029707	1b
17885055	2b
18374470	2b
26810358	1a
2460420	4
28968482	1a
10901892	3b
17177906	2b
17910672	2b
22764846	2b
20574663	1a
25265494	1b
12884346	4
20607257	2b
18844268	2b
19825894	1a
20074274	2b
16670021	1a
15300807	2a
18721121	1b
17067773	2b
11301400	3b
11561874	2b
23448741	2a
12665174	2a
19198960	4
21737481	1a
16968875	2b
14740113	4
33175109	3a
21440505	1a
24516038	1b
27404902	2b
26354897	1a
26185462	3a
28589374	1b
21212434	1a
14972475	3a
25072430	3a
30414437	2a
27714530	2b
8285314	4
20085515	4
15126801	1b
17705242	1b
19076193	4
17505260	2b
27862503	2a
19287330	1b
20869161	3a
18255215	2a
17066229	4
7717616	4
31351998	2b
11605710	2b
17397033	1a
26632144	1a
20051288	2b
18299900	1b
26524693	1a
25328711	1b
18778120	1a
20493642	2a
9039219	1b
21775131	1a
21705947	2b
20929930	2b
25782685	2b
19904268	1b
16857310	3a
21708859	2a
20864250	3a
28716654	1b
21748297	4
12074814	2a
10741708	4
17462460	2b
15054734	1b
22266828	4
20594789	2b
15509363	4
18602738	2b
22883107	2a
12829674	2b
19307881	3b
15878101	1a
25337414	1b
15120768	2a
7644637	4
17493240	2b
25768829	3a
21977863	2b
32808383	2b
18398082	1a
17130095	1a
12756090	3a
25502158	3b
19185981	2b
3886943	1b
26027431	1b
22836063	1b
22208450	1b
23150700	2b
9469333	1b
23150723	1b
18207170	3a
17351024	2b
8835002	3b
26254030	3a
27373241	3a
25803110	1a
26447374	2b
31094582	4
23325866	3b
19520448	1b
26646130	4
18954710	1a
24548688	2b
22251405	3b
27577677	1a
20151211	2b
24375332	1b
23876569	2b
11687137	1a
28105133	1b
18683009	4
16080180	4
12590031	1a
20680687	3a
19237629	2b
25515823	4
9522188	4
21606835	2b
12564350	2b
24368204	2a
23244208	1b
18214038	3a
32168393	2a
22290565	3a
24891083	2a
26051575	2b
18182991	1a
24408354	1a
26868956	3a
12697850	1b
10478249	4
21249653	1a
21369722	1a
28270726	2b
21130937	1a
2221244	4
26224016	2a
17315165	3a
18843728	1a
15315996	1a
10233217	3b
17962204	1b
9412793	3a
17308275	1a
21538357	2b
12148859	4
30952370	4
22958507	2b
12072074	4
23988413	1b
25339472	2b
26451318	3b
24918013	3b
18487569	2b
14695133	4
15389803	2b
24074765	2b
17850369	3a
30952370	4
28444695	4
18606510	4
24548269	2a
15642703	2a
28521070	1a
12399540	2b
26143635	1a
25336068	1b
1995527	1b
21259250	3b
22724877	2b
17681449	3b
9654256	1b
18784101	1b
15057050	2b
27247219	2b
20572581	2b
22827973	2b
22027908	1b
28891423	1b
18284406	1b
20495649	4
23341990	3a
23552870	3b
29150143	4
20564647	2b
19179556	4
19413611	4
8053075	3b
29759571	4
25265492	1b
18380638	1a
18186694	2a
10944593	2b
20147334	1a
15099363	2b
20113765	1b
24803944	1b
15028824	1b
27368067	2b
15917701	2b
28159465	2a
19744432	2b
25750840	3a
10091979	4
11338068	1b
20842129	4
16678888	3a
33175109	3a
10856105	1b
27871836	3a
25557932	1b
3926037	4
11559726	1a
16135479	1a
23538593	1b
28703702	2b
19556903	4
657108	4
1365686	3b
29112178	1a
27090434	1a
11276624	4
23550785	2a
19760961	4
12230618	1a
18794556	1b
10858827	1b
26773421	3a
18823024	2b
18172188	1a
28676557	1a
8518552	2b
21638276	2b
25857366	2b
9145716	2a
19377025	3a
18339488	3a
15660191	3a
17349523	2a
30375188	1a
21394014	2b
21441841	2b
25800768	1a
19395188	2b
28421384	2b
22430268	1b
23670820	3a
16624554	3a
26433822	3a
22525255	3a
7675471	4
27416736	3b
26748390	3a
12906958	2b
20372154	3b
24608196	1a
28377491	1a
24142465	1a
15337983	2b
7744151	1b
19637245	3a
2360176	3b
11240234	1a
12569292	1b
28700428	2a
23218058	1b
23236090	1b
14532779	2a
24445100	1a
15846608	1a
12560444	2b
21708852	1a
16433802	2b
16601380	3a
16034972	1a
19516032	1a
24062793	2a
20231039	3a
24395850	1b
27007578	1b
9687327	4
27043023	3a
19418067	4
18445842	1b
20607257	2b
20228458	2b
11062372	3a
23293898	1b
28114650	1a
28124578	3a
24964862	3b
23775340	2a
21296261	1a
16027286	4
17252006	1b
27636187	3b
24263087	1b
29660577	3a
28489508	1b
26940689	1a
17341293	1b
7485727	4
17710982	2b
26975020	2a
14581420	2a
20485150	2b
27566024	3b
19497694	2b
26526791	3b
9101809	3b
21263243	2b
21399726	2b
28743659	1b
15915059	4
17562446	2b
19154475	3a
26932710	2a
18791364	4
25458957	3b
23744578	1a
19724276	2b
26930506	3a
19433689	1a
27621396	2a
21878232	2b
24438695	1b
23897967	1a
14730236	1a
6143195	1b
25399551	1b
22249837	4
22858235	1b
22956074	1b
18510665	3b
15857741	2b
2329611	2a
15017203	2b
20124172	2b
11111188	1a
23744578	1a
15533473	2a
12394698	3a
1618662	2b
23730573	4
19117354	1a
26430688	2b
27918778	1a
11567700	1b
23571104	2a
20394851	1b
16034309	4
15305157	3b
28700428	2a
9552047	1b
19701906	3b
16336329	2a
21324605	2b
23880781	1a
17983900	4
14646625	4
17351987	2b
19692292	2b
22888364	2b
11062372	3a
19622133	3b
16971038	3a
23745991	1b
17090712	2a
22887465	1b
27405322	1a
17340069	2b
18165645	1a
15805888	4
19561263	4
21146017	2b
15051778	1b
12597468	1b
31451560	2a
28968482	1a
19715642	4
23334562	1b
24122657	2b
25114589	2b
29197180	1a
21464558	2b
20082117	1b
19351795	2b
26427805	1b
19858379	1b
25418318	3a
14662431	1a
31150123	2a
20422030	2b
18287337	3b
21130937	1a
12373596	4
24332675	1a
21565490	1b
19628952	2b
15522655	1a
1697993	3a
7789488	1b
28695171	1b
18281266	1b
28093732	1a
17641374	2b
25027170	2b
22782342	3a
26354897	1a
30060741	2a
21713779	2b
19774952	4
26816289	1a
26177589	2b
17765781	4
33175109	3a
12958566	4
18304950	2a
30239277	1b
11919239	1a
8245304	4
12458993	1a
32938468	1b
18840840	2b
11528187	3a
16339333	1a
15001244	2a
26961150	3a
19132446	1b
27194553	2a
22968366	1a
17609874	2b
12476290	2b
22678407	2b
20026578	2a
25303304	3a
19240995	3a
21708858	1a
19303991	2b
18692752	2b
12784346	4
25142075	1b
17171491	4
17066229	4
6480308	4
26632523	2a
28603881	1a
19906525	1b
20438786	1b
18468970	3b
23740894	2b
20482725	3b
20960520	3a
27058769	2a
23242388	4
10851775	2b
19171291	1a
4044346	2b
17357855	3b
25545744	2b
28058748	2b
27401894	3a
19720925	2b
9606326	3b
12075032	2a
18207129	2b
30784058	1a
24259406	1b
27590865	2b
23553229	4
22278308	4
16618660	4
17146784	2b
19924806	4
17765406	1a
19412512	3a
3054448	4
21064111	2b
18212313	1a
7074555	3b
15928300	1a
30060741	2a
21371132	2a
17944760	2b
17373331	4
31094582	4
8416885	4
15888698	1a
19030934	2b
12611318	2a
26231307	4
27480356	3a
19826135	1b
7564470	2b
15860850	3a
